NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience negative?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21597010	11.06.2022 19:46	11.06.2022 19:46	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e234e6d06121f5eceaba7f1	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	accidental, I think	It was a stranger	.	7	1	2	1	1	2	6		9		0	On the bus	Not at all	Not at all	Not at all	Not at all	Quite a bit	Moderately	A little	Moderately	Moderately	Not at all	Moderately	Moderately	A little	A little	A little	A little	A little	A little	A little	A little	Not at all	A little	A little	Not at all	A little	Not at all	A little	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	A little (2)	A little (2)	A little (2)	Quite a bit (4)	Moderately (3)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	50	Female		5 minutes 13 seconds
21597011	11.06.2022 19:46	11.06.2022 19:46	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5db60dd178988a000c947856	Caress		Partner		The interaction partner mainly took the initiative	Comfort	Too much touching	.....	10	5	3	4	3	8	9	Not applicable	7		8	Sitting on sofa	Quite a bit	Moderately	Moderately	Not at all	Quite a bit	Moderately	Moderately	Quite a bit	Very much	Very much	Not at all	A little	A little	A little	Moderately	Moderately	A little	A little	Moderately	A little	Very much	Quite a bit	Quite a bit	Quite a bit	Not at all	Not at all	Not at all	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	36	Female		4 minutes 30 seconds
21597013	11.06.2022 19:46	11.06.2022 19:46	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60fed80971be797422983d90	Kiss		Acquaintance		The interaction partner mainly took the initiative	To say goodbye	It make me feel awkward and uncomfortable.	..	8	3	3	2	3	6	3		2		3	Leaving their house in the doorway	A little	A little	Not at all	Not at all	Not at all	A little	A little	Very much	Quite a bit	Not at all	Moderately	Quite a bit	A little	Not at all	Moderately	Not at all	Not at all	Not at all	Quite a bit	Not at all	A little	Moderately	Quite a bit	A little	A little	Not at all	A little	A little (2)	Quite a bit (4)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	A little (2)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	23	Female		6 minutes 15 seconds
21597014	11.06.2022 19:46	11.06.2022 19:46	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fb116aa0da621551d3c8844	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	To stop me moving	Because of the force used	.	4	4	8	2	3	3	9		8		1	An intoxicated stranger stopping me on the street because they thought they knew me	Moderately	Very much	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Not at all	Moderately	Moderately	Not at all	Moderately	Moderately	Not at all	A little	A little	Moderately	Moderately	Moderately	Moderately	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Extremely (5)	Extremely (5)	Moderately (3)	Not at all (1)	Extremely (5)	Extremely (5)	Moderately (3)	Not at all (1)	Extremely (5)	Quite a bit (4)	Extremely (5)	Quite a bit (4)	Extremely (5)	Quite a bit (4)	31	Male		9 minutes 20 seconds
21597016	11.06.2022 19:47	11.06.2022 19:47	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d95d2bbd84e9e001607bfea		Several body touches & kisses, hopeful attempts to initiate sexual intercourse	Partner		The interaction partner mainly took the initiative	To start sex	I wasn't interested, wrong time, I didn't feel well, reminded MD of his expectations & my lack of interest.	.....	9	5	6	5	7	8	9	Not applicable	2		6	In bed in the minting	Not at all	Not at all	Moderately	Not at all	Moderately	Not at all	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	A little	A little	Not at all	A little	Not at all	Not at all	A little	Not at all	Moderately	A little	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	57	Female		8 minutes 13 seconds
21597017	11.06.2022 19:47	11.06.2022 19:47	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62696083dee627b42695b262	Caress		Acquaintance		The interaction partner mainly took the initiative	To show interest	Because he did not have my permission and I didn’t want it, and the fact he was a colleague. It made me feel very uncomfortable	.	8	2	8	1	6	1	9		1		0	Both sat at computers, at college	Not at all	A little	A little	Not at all	Not at all	A little	Not at all	A little	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	A little	Moderately	Not at all	Not at all	A little	A little	Not at all	A little	A little	Not at all	Quite a bit	A little	A little	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Extremely (5)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Moderately (3)	Not at all (1)	Extremely (5)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Extremely (5)	25	Female		6 minutes 44 seconds
21597019	11.06.2022 19:47	11.06.2022 19:47	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6171809ed83c5413d1594bfc	Kiss	Leg touching	Stranger		The interaction partner mainly took the initiative	Flirting	I wasnt interested	.	5	1	5	1	2	2	7		8		3	outside a bar	Not at all	A little	A little	Not at all	Not at all	A little	A little	A little	A little	Not at all	Not at all	Not at all	Not at all	A little	A little	A little	Not at all	A little	A little	Not at all	Moderately	A little	A little	Quite a bit	Not at all	Moderately	A little	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	24	Female		7 minutes 52 seconds
21597020	11.06.2022 19:48	11.06.2022 19:48	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	56834b142c7f11000d3cbec6	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	To console	It was unexpected and I was taken aback.	..	3	9	5	5	3	5	4	Not applicable	7		5	Sitting with other people round a table	Not at all	A little	Not at all	Not at all	Not at all	Quite a bit	Very much	Not at all	Quite a bit	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	A little	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Extremely (5)	Not at all (1)	Quite a bit (4)	Extremely (5)	Extremely (5)	Extremely (5)	Extremely (5)	Not at all (1)	23	Male		6 minutes 26 seconds
21597021	11.06.2022 19:48	11.06.2022 19:48	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5cdfa1be2c20f6001dc94e14		Touched knees	Stranger		We both took the initiative	I think it was an accident	It made me feel uncomfortable that another person was touching me.	.	8	2	3	2	3	5	9		0		0	Sitting on a train facing another person and their knee accidentally hit mine	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	A little	Very much	A little	Not at all	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	24	Female		7 minutes 54 seconds
21597022	11.06.2022 19:48	11.06.2022 19:48	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea088439e592705fe61559d		acupuncture	Stranger		We both took the initiative	Therapeutic	Painful and overwhelming side effects	..	4	2	10	2	4	10	2		8		9	Office	Quite a bit	Very much	Quite a bit	Not at all	Not at all	Not at all	Not at all	Moderately	A little	Not at all	A little	Very much	A little	Quite a bit	Very much	A little	Very much	Not at all	Quite a bit	Moderately	A little	Moderately	Quite a bit	Quite a bit	A little	A little	A little	Extremely (5)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Extremely (5)	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Extremely (5)	Extremely (5)	Extremely (5)	Extremely (5)	Quite a bit (4)	Extremely (5)	62	Female		6 minutes 11 seconds
21597023	11.06.2022 19:48	11.06.2022 19:48	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60620c0c83cc0bab76bdd285	Handshake		Colleague		The interaction partner mainly took the initiative	A meeting handshake	I just wasn’t expecting it	.	4	3	8	1	4	4	5		4		3	At the office, stood up and meeting a collègue for the first time	A little	A little	A little	Not at all	A little	A little	A little	Moderately	Moderately	A little	A little	A little	A little	A little	A little	A little	Not at all	A little	A little	A little	A little	A little	A little	A little	A little	A little	A little	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	A little (2)	A little (2)	21	Female	Female	7 minutes 3 seconds
21597025	11.06.2022 19:49	11.06.2022 19:49	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d30c8b1199439001804cb53	Hand on the shoulder		Partner		The interaction partner mainly took the initiative	To reassure and hug	We had been arguing	...	6	4	9	3	7	5	7	Not applicable	5		5	At home in the kitchen	Moderately	Not at all	Quite a bit	A little	Quite a bit	Moderately	Very much	Quite a bit	A little	A little	Not at all	A little	Quite a bit	A little	Moderately	A little	A little	A little	Moderately	Moderately	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	39	Female		6 minutes 28 seconds
21597026	11.06.2022 19:49	11.06.2022 19:49	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60539d8f9f407ae336a62b4f	Caress		Acquaintance		The interaction partner mainly took the initiative	Most likely to be flirtatious	I made it clear I was not interested multiple times and they still insisted on touching me.	.	8	1	3	1	5	2	10		3		0	Sitting in my bedroom	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Moderately	Not at all	A little	Not at all	Not at all	Moderately	Not at all	A little	Not at all	A little	A little	Not at all	Not at all	A little	A little	A little	A little	Not at all	Not at all	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Extremely (5)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	24	Female		9 minutes 12 seconds
21597027	11.06.2022 19:49	11.06.2022 19:49	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5cb081ec992eae001846530b		Hand on back	Stranger		The interaction partner mainly took the initiative	To get my attention	Unexpected, no consent, uncomfortable	.	8	1	6	2	2	3	10	Not applicable		Not applicable	0	While I was at work in a supermarket filling a shelf.	A little	Not at all	Not at all	Not at all	Moderately	A little	Moderately	Moderately	A little	Not at all	A little	Not at all	Not at all	Very much	Quite a bit	A little	Not at all	A little	Moderately	Not at all	A little	A little	A little	A little	Not at all	A little	Not at all	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Quite a bit (4)	Moderately (3)	A little (2)	Moderately (3)	42	Female		9 minutes 24 seconds
21597028	11.06.2022 19:50	11.06.2022 19:50	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b1d303d3522660001b43e37	Handshake		Stranger		The interaction partner mainly took the initiative	Greeting	Unwated	.	10	1	1	1	5	10	2		1		0	Job interview	A little	Not at all	Not at all	Not at all	Moderately	A little	Moderately	Quite a bit	A little	Not at all	Not at all	A little	A little	Moderately	A little	A little	Not at all	Quite a bit	Quite a bit	A little	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Not at all	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Extremely (5)	Not at all (1)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	Extremely (5)	Quite a bit (4)	A little (2)	Not at all (1)	35	Male		4 minutes 20 seconds
21597030	11.06.2022 19:50	11.06.2022 19:50	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e77fed7cce2a238627ce1a2		Restraining an aggressive child	Colleague	Child at the school where I work	We both took the initiative	To keep him safe when he was aggressive	Because he was trying to break out of the restraint	.	1	1	9	2	7	9	3		7		0	On the street at the end of a school trip	Very much	Quite a bit	Not at all	Not at all	Not at all	Quite a bit	Moderately	Quite a bit	Not at all	Not at all	A little	Very much	Quite a bit	A little	Quite a bit	Quite a bit	Not at all	A little	Moderately	Not at all	Not at all	Not at all	Quite a bit	A little	A little	Moderately	Not at all	Quite a bit (4)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Extremely (5)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Extremely (5)	A little (2)	Quite a bit (4)	A little (2)	36	Female		7 minutes 3 seconds
21597033	11.06.2022 19:50	11.06.2022 19:50	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eb3e765a781b11dc852fcd6	Caress		Acquaintance		The interaction partner mainly took the initiative	Greeting	We’re not close enough for him to touch me	.	8	4	5	3	4	5	8		4		0	On the dance floor in a bar	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Moderately	A little	Not at all	Not at all	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	22	Female		8 minutes 56 seconds
21597036	11.06.2022 19:51	11.06.2022 19:51	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60d3a709d7e37b3b6565eeb6	Kiss		Acquaintance		The interaction partner mainly took the initiative	Handshake	Because I felt awkward	..	7	7	4	4	6	4	5		6		7	I was at work in front of my computer	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	29	Female		4 minutes 3 seconds
21597037	11.06.2022 19:51	11.06.2022 19:51	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5de7baf95d4f97726bc2b11e	Caress		Colleague		The interaction partner mainly took the initiative	I took a bad call at work	Comfort	.	6	3	4	3	9	2	6	Not applicable	2		2	Sat in my bosses office	Quite a bit	A little	A little	Not at all	Quite a bit	Quite a bit	Quite a bit	Moderately	A little	Not at all	A little	A little	A little	Moderately	Moderately	A little	Not at all	Moderately	A little	Not at all	Moderately	A little	Moderately	Moderately	Moderately	A little	A little	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	34	Female	Female	7 minutes 41 seconds
21597038	11.06.2022 19:51	11.06.2022 19:51	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60bb9dd521d84c33662850ae	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	To attempt to congratulate	Felt very patronising	..	8	8	6	7	9	4	4		5		3	Workplace	Moderately	Moderately	A little	A little	A little	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	A little	Moderately	Not at all	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	A little	Quite a bit	Very much	Quite a bit	A little	A little	A little	A little (2)	A little (2)	A little (2)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	29	Male		3 minutes 11 seconds
21597042	11.06.2022 19:52	11.06.2022 19:52	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a0f0a0e2819d6bfd91f3cf	Handshake		Colleague		The interaction partner mainly took the initiative	To greet me	I felt we were better acquainted and was hoping to have a hug	...	4	3	8	3	3	8	8		7		2	At my workplace in a different department. We worked together in the past but now work in different departments	Moderately	Quite a bit	A little	Not at all	Quite a bit	Moderately	Moderately	Quite a bit	A little	Not at all	A little	A little	Not at all	Moderately	Quite a bit	A little	Not at all	Not at all	A little	A little	Moderately	A little	Moderately	A little	Not at all	A little	Not at all	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	30	Male		5 minutes 16 seconds
21597043	11.06.2022 19:52	11.06.2022 19:52	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60c5384a49764a155deae81b		Headlock	Friend		The interaction partner mainly took the initiative	Aggresive	Because it hurt and I couldn't breathe	...	2	2	9	3	3	1	5	Not applicable	10		0	At his house with some friends	Not at all	Quite a bit	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	22	Male		7 minutes 38 seconds
21597045	11.06.2022 19:53	11.06.2022 19:53	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b7877430aeff10001f1b162	Hug		Family member		The interaction partner mainly took the initiative	a hug goodbye	because the visit was sprung upon me just before i was about to shower so i felt unclean and only like to hug if im wearing perfume and clean	......	5	7	8	4	6	10	5	Not applicable	6		5	in my house in our hallway	Not at all	Not at all	Very much	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit (4)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	38	Female	female	11 minutes 4 seconds
21597055	11.06.2022 19:56	11.06.2022 19:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fca1ed870a25c585f1a7515	Handshake		Colleague		The interaction partner mainly took the initiative	Professionalism	I had a deep dislike and disrespect for them but they were a superior	.	2	2	2	2	3	9	1			Not applicable	1	After a grossly insulting interaction in a meeting, where he used his status to insult me openly	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	34	Male		10 minutes 21 seconds
21597059	11.06.2022 19:56	11.06.2022 19:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d668d0c99fb300017e9c294	Hug		Partner		We both took the initiative	cuddle	did not feel right	.	6	5	5	7	4	6	6	Not applicable	7		4	sitting in the garden	Moderately	A little	Moderately	Moderately	Moderately	Moderately	A little	A little	Moderately	Moderately	A little	A little	Moderately	Quite a bit	Moderately	Moderately	Moderately	Moderately	Moderately	A little	A little	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Moderately	Moderately (3)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	Quite a bit (4)	A little (2)	A little (2)	Not at all (1)	36	Male	male	5 minutes 38 seconds
21597064	11.06.2022 19:57	11.06.2022 19:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b6b5b2460247f000117767e	Kiss		Family member		The interaction partner mainly took the initiative	My son wanted to kiss me in the ear and cause a reaction	Being kissed in the ear is really loud and painful	......	4	5	7	4	4	4	4		9		3	Reading a bedtime story in bed	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Moderately (3)	Quite a bit (4)	36	Female		14 minutes 59 seconds
21597070	11.06.2022 19:58	11.06.2022 19:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d9e481991e6ed00133e1abe	Hug		Family member		The interaction partner mainly took the initiative	Spontaneous hug	It did not last long.	......	7	8	2	6	4	9	8		2		7	Sitting at home	A little	Very much	Very much	Moderately	A little	Quite a bit	Quite a bit	Very much	Very much	Very much	Not at all	Not at all	Moderately	Quite a bit	A little	A little	Not at all	Not at all	A little	Moderately	Quite a bit	A little	Quite a bit	Very much	A little	A little	Very much	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	63	Female		17 minutes 39 seconds
