NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience positive?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21566658	09.06.2022 15:18	09.06.2022 15:18	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	607c9a9eebae7b6598a2b7e3	Hand on the shoulder		Partner		The interaction partner mainly took the initiative	Situation	Yes	......	7	6	8	10	8	10	5		5		5	At home	A little	A little	A little	Quite a bit	A little	A little	Quite a bit	Quite a bit	Quite a bit	A little	A little	A little	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	34	Female		6 minutes 14 seconds
21566666	09.06.2022 15:19	09.06.2022 15:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fd78cdd3582450c1cb07b09	Hug		Partner		We both took the initiative	Comfort	Because it was with my husband	......	7	9	9	9	4	8	3		7		3	In bed	Quite a bit	Not at all	A little	Not at all	Quite a bit	A little	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	A little	Quite a bit	Not at all	Not at all	Quite a bit	Quite a bit	Not at all	Quite a bit	Not at all	Moderately	A little	Moderately	A little	Not at all	Moderately	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Extremely (5)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	35	Female		9 minutes 40 seconds
21566667	09.06.2022 15:19	09.06.2022 15:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6005c15acef0ed86cc521eda	Hug		Friend		We both took the initiative	meeting after a long time	because it was good seeing each other	.	9	10	10	10	8	10	10		8		0	local high street	Not at all	Moderately	Quite a bit	Not at all	Moderately	A little	Moderately	A little	Moderately	A little	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Not at all	Moderately	Moderately	Not at all	Not at all	A little	Moderately	Moderately	Not at all	Not at all	A little	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	68	Female		9 minutes 15 seconds
21566671	09.06.2022 15:19	09.06.2022 15:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60a3fc9540b8da80ae5af067	Hug		Friend		We both took the initiative	Just to show the affection	We were both meeting after several years	...	8	2	8	8	5	7	6		6		7	standing in a park	Not at all	Not at all	Quite a bit	Quite a bit	Not at all	Moderately	Quite a bit	Quite a bit	Quite a bit	A little	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little	Moderately	Quite a bit (4)	A little (2)	Moderately (3)	A little (2)	Quite a bit (4)	A little (2)	A little (2)	A little (2)	Quite a bit (4)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	Moderately (3)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	77	Female		7 minutes 56 seconds
21566687	09.06.2022 15:20	09.06.2022 15:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5be92cf1ba2782000117743e	Hug		Friend		The interaction partner mainly took the initiative	Reunion	Because it was true friendship	......	9	9	7	9	6	9	10		5		4	Southend theme park	Not at all	Not at all	Very much	Moderately	Moderately	Moderately	Quite a bit	Very much	Very much	Very much	Quite a bit	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little	Moderately	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	66	Female	F	9 minutes 5 seconds
21566695	09.06.2022 15:20	09.06.2022 15:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b017ef1293d310001023bd8		Touching my partner's breasts	Partner		I mainly took the initiative	To arouse both of us	I felt aroused and excited	.....	10	10	5	10	4	9	10		2		7	Lying on the bed in her bedroom	Moderately	A little	Very much	Not at all	Not at all	A little	Moderately	Moderately	Quite a bit	Very much	Not at all	A little	Moderately	Not at all	Not at all	Not at all	Quite a bit	Moderately	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Not at all	Not at all	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	67	Male		8 minutes 21 seconds
21566704	09.06.2022 15:21	09.06.2022 15:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a1d8a912b04419efd7d02c	Handshake		Family member		The interaction partner mainly took the initiative	Welcome	Yes	.	7	8	8	9	5	8	5	Not applicable	3		10	Inside home	Moderately	Moderately	A little	A little	Moderately	A little	Moderately	Quite a bit	Moderately	A little	Moderately	Moderately	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	A little	Moderately	Quite a bit (4)	Not at all (1)	A little (2)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	Extremely (5)	Moderately (3)	Quite a bit (4)	Moderately (3)	Moderately (3)	Moderately (3)	42	Male		6 minutes 55 seconds
21566712	09.06.2022 15:21	09.06.2022 15:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60c75a8a93094a8ce75594da	Hug		Partner		The interaction partner mainly took the initiative	To relax me	Because the intention worked	.....	10	10	5	10	8	10	10	Not applicable	3		4	In the kitchen, stood up, in the middle of cooking	A little	A little	Very much	Moderately	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	A little	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	A little	A little	Very much	Very much	Quite a bit	Moderately	A little	Moderately	Moderately	Extremely (5)	A little (2)	Quite a bit (4)	A little (2)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	A little (2)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	24	Male		4 minutes 24 seconds
21566714	09.06.2022 15:21	09.06.2022 15:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62950231ceeb8357e4861859	Handshake		Colleague		We both took the initiative	Friends	Warm have been away for a few weeks	..	5	8	10	10	6	7	7		5		4	A work colleague when arriving at work	A little	Not at all	Quite a bit	Moderately	Not at all	A little	Moderately	Quite a bit	A little	Moderately	Quite a bit	A little	A little	Quite a bit	Quite a bit	Quite a bit	A little	Quite a bit	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	54	Male		9 minutes 18 seconds
21566715	09.06.2022 15:21	09.06.2022 15:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c597bc54d0f2b0001f3dd0f	Hug		Family member		The interaction partner mainly took the initiative	To demonstrate love	Warm and loving	.....	8	9	4	9	6	10	7		3		7	A room in the house	Not at all	Not at all	Very much	A little	Not at all	Quite a bit	Not at all	Quite a bit	Very much	Moderately	Not at all	Not at all	Very much	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	A little	A little	Moderately	Quite a bit	Very much	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	39	Female		9 minutes 57 seconds
21566718	09.06.2022 15:21	09.06.2022 15:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a0b94224c48b2c43aa144b	Hug		Friend		We both took the initiative	Feel loved	I could feel the warmth	....	8	10	7	9	3	7	3	Not applicable	3		8	meeting outside a restaurant	Very much	Quite a bit	Very much	Moderately	Quite a bit	A little	Quite a bit	A little	Very much	A little	Quite a bit	Quite a bit	A little	Very much	Very much	Very much	Quite a bit	Very much	Very much	A little	Very much	Very much	Very much	Very much	Quite a bit	Very much	Very much	Extremely (5)	Not at all (1)	Extremely (5)	A little (2)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	A little (2)	Moderately (3)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	23	Female	female	4 minutes 24 seconds
21566741	09.06.2022 15:22	09.06.2022 15:22	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a1ddba1ed9465d020271d9	Hug		Partner		We both took the initiative	Hugging after a long time apart	It was our first physical contact for six weeks, during which time a lot of positive events had occurred in our individual lives, and both of us had been looking forward to seeing the other in the days leading up to the touch experience	......	9	10	8	10	5	9	9	Not applicable	4		10	In the hallway after opening the door	Quite a bit	Not at all	Very much	Quite a bit	Quite a bit	A little	Moderately	Very much	Very much	Very much	Not at all	Moderately	Quite a bit	A little	Quite a bit	A little	Very much	Not at all	Very much	Not at all	Very much	Very much	Moderately	Not at all	A little	A little	Very much	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	A little (2)	A little (2)	A little (2)	Not at all (1)	23	Male		6 minutes 9 seconds
21566742	09.06.2022 15:23	09.06.2022 15:23	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eb56bceb63cb1060d4a12ec	Hug		Partner		We both took the initiative	expression of care and love	It came after isolating from each other because of covid	....	10	10	10	10	7	10	5	Not applicable	3	Not applicable	10	whilst cooking together	Not at all	Moderately	Very much	Not at all	Moderately	Moderately	Quite a bit	Quite a bit	Very much	Moderately	A little	Not at all	A little	Moderately	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Not at all	Very much	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	32	Female		10 minutes 2 seconds
21566752	09.06.2022 15:23	09.06.2022 15:23	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	628f6b8837248d46a50776f7	Hug		Friend		We both took the initiative	to greet each other	was really looking forward to seein this person	.....	6	10	9	10	8	10	6	Not applicable	7		10	Train station waiting room	Moderately	Quite a bit	Quite a bit	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Extremely (5)	A little (2)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	A little (2)	Quite a bit (4)	Not at all (1)	43	Male		6 minutes 22 seconds
21566779	09.06.2022 15:24	09.06.2022 15:24	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	613d2a2b723e9f4a86e56ee1	Hug		Family member		We both took the initiative	Showing love	Because it was with my mum and It felt like what I needed	.....	8	9	8	10	5	9	10	Not applicable	6		8	At home before bed in my room	A little	Not at all	Very much	A little	A little	Moderately	Moderately	Moderately	Quite a bit	A little	Not at all	A little	A little	Quite a bit	Moderately	A little	Moderately	Moderately	Moderately	A little	Moderately	A little	Moderately	Quite a bit	A little	A little	Moderately	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	25	Female		6 minutes 27 seconds
21566803	09.06.2022 15:26	09.06.2022 15:26	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6114528e0f88ea0f77b1e0fc	Hug		Family member		We both took the initiative	To comfort	Because it made me feel better	....	9	10	10	9	8	10	1	Not applicable	5	Not applicable	9	Waiting to meet in a car park	Quite a bit	Not at all	Very much	Quite a bit	A little	Not at all	A little	Quite a bit	Very much	Not at all	Not at all	A little	Quite a bit	Not at all	Quite a bit	Not at all	A little	Quite a bit	Moderately	Not at all	Quite a bit	Moderately	Moderately	Quite a bit	Moderately	A little	Moderately	Extremely (5)	A little (2)	Quite a bit (4)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Extremely (5)	A little (2)	A little (2)	A little (2)	48	Female		13 minutes 31 seconds
21566811	09.06.2022 15:26	09.06.2022 15:26	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60f34b0f4cd39586fe21d42e	Hug		Friend		We both took the initiative	Greeting	It was an expression of appreciation by a friend who hadn't seen me in a while	..	9	10	6	10	2	10	10		8		10	Meeting in the station for an afternoon and evening catch up.	Not at all	Not at all	Quite a bit	Not at all	A little	Not at all	Moderately	Very much	Very much	Not at all	Not at all	Not at all	A little	Not at all	A little	Not at all	A little	Not at all	Moderately	Not at all	Quite a bit	A little	Not at all	A little	Not at all	Not at all	A little	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	48	Male		14 minutes 36 seconds
21566815	09.06.2022 15:26	09.06.2022 15:26	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e960129513f640744e204db	Hug		Partner		We both took the initiative	To express love	Because of how it felt mentally and physically	......	10	10	10	10	10	10	6	Not applicable	0		10	sitting on our bed at home	Not at all	Quite a bit	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	21	Male		3 minutes 38 seconds
21566819	09.06.2022 15:27	09.06.2022 15:27	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c6de215c292130001e5bf54	Hug		Partner		I mainly took the initiative	comfort	Because it felt like we were really close emotionally	.....	9	8	7	10	6	8	5	Not applicable	4		7	standing in the middle of the living room	A little	A little	Quite a bit	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	A little	Moderately	Moderately	A little	Quite a bit	Moderately	Moderately	Moderately	Moderately	A little	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Very much	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	30	Male		5 minutes 23 seconds
21566825	09.06.2022 15:27	09.06.2022 15:27	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f9558cbb4a1a902fb6902e5	Hug		Friend		We both took the initiative	To welcome each other after a period of time	Because we missed each other	.....	9	9	9	9	8	9	9			Not applicable	9	My very close friend had invited me around for the afternoon	Moderately	A little	Very much	Very much	Moderately	Quite a bit	Quite a bit	Very much	Very much	Quite a bit	Not at all	Not at all	Quite a bit	Quite a bit	Moderately	A little	Quite a bit	Very much	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Moderately	Quite a bit	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	52	Male	Male	7 minutes
21566871	09.06.2022 15:30	09.06.2022 15:30	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fcf5b5bf1b67600084ce647	Kiss		Partner		The interaction partner mainly took the initiative	intimate	positive reaction	......	10	10	10	10	7	10	3		4		3	in our house in the living room	Not at all	A little	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	A little	A little	Very much	Quite a bit	Moderately	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	33	Male		8 minutes 38 seconds
21566910	09.06.2022 15:33	09.06.2022 15:33	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b82be353c1375000199766e	Handshake		Friend		We both took the initiative	say hello	was a good strong handshake from a good friend	.....	7	8	9	10	9	9	9		3		10	outside on the street	A little	A little	Moderately	Quite a bit	Moderately	Quite a bit	A little	Quite a bit	Quite a bit	Moderately	Moderately	Not at all	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	A little	Moderately	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	Quite a bit (4)	Not at all (1)	39	Male		9 minutes 40 seconds
21566911	09.06.2022 15:33	09.06.2022 15:33	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5afc14a00b2d5f00015693b4	Hand on the shoulder		Partner		The interaction partner mainly took the initiative	Support	Yes	......	9	10	6	9	2	10	9		2		4	Sitting on the sofa in the living room	A little	A little	Quite a bit	Not at all	Moderately	Moderately	A little	A little	Quite a bit	A little	A little	Moderately	A little	A little	Moderately	A little	Quite a bit	Moderately	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	A little	A little	Quite a bit	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	36	Male		4 minutes 41 seconds
21566914	09.06.2022 15:33	09.06.2022 15:33	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5acb5910e1546900019c413a	Hug		Friend		The interaction partner mainly took the initiative	comfort when saying farewell	yes	....	8	8	6	9	6	6	6		5		5	while getting out of a car	Moderately	A little	Quite a bit	A little	Moderately	Moderately	A little	Moderately	Quite a bit	Moderately	Not at all	A little	Quite a bit	Not at all	A little	A little	A little	Moderately	Moderately	A little	A little	Quite a bit	Moderately	Moderately	Moderately	Moderately	Moderately	Quite a bit (4)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	33	Male		8 minutes 27 seconds
21566929	09.06.2022 15:34	09.06.2022 15:34	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f0e0f4210934511e0d2d793		Cuddle / spooning	Partner		I mainly took the initiative	the spread kindness and comfort	spreading love and affection	......	10	10	6	10	9	9	9			Not applicable	8	at night in bed with my partner	Not at all	A little	Very much	Moderately	A little	A little	Moderately	Quite a bit	Very much	Very much	A little	A little	Moderately	Moderately	A little	A little	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Very much	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	31	Male	male	5 minutes 44 seconds
21566942	09.06.2022 15:35	09.06.2022 15:35	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6169e4749965d33744b7c4ff	Kiss		Partner		The interaction partner mainly took the initiative	Affection	Loving gesture.	.....	7	8	4	8	2	10	10		5		7	Sitting at my desk in the house.	Moderately	Not at all	Very much	Not at all	Not at all	A little	Moderately	A little	Moderately	Quite a bit	A little	A little	Not at all	Not at all	A little	A little	A little	Moderately	A little	A little	Not at all	A little	A little	Moderately	Not at all	Not at all	Moderately	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	31	Male	Male	7 minutes 10 seconds
21566986	09.06.2022 15:37	09.06.2022 15:37	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	59a58d06814c2600018ccadc	Handshake		Colleague		We both took the initiative	Friendliness	There was a sense of warmth and comradery	...	5	7	9	8	4	7	5		6		6	Standing while at work	A little	A little	A little	A little	Not at all	A little	A little	Moderately	A little	A little	A little	A little	A little	A little	Moderately	A little	A little	A little	Moderately	Not at all	A little	A little	Moderately	A little	Not at all	A little	A little	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	34	Male		12 minutes 55 seconds
